pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\instcombine__then__early-cse.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\instcombine__then__gvn.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\gvn__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\loop-rotate__then__instcombine.ll,"in function Bubble:
  in block %.preheader:
    >   %indvars.iv22 = phi i64 [ 500, %1 ], [ %indvars.iv.next3, %10 ]
    <   %indvars.iv22 = phi i64 [ 500, %1 ], [ %indvars.iv.next3, %10 ]
  in block %10 / %10:
    >   %12 = icmp sgt i64 %indvars.iv22, 2
    >   br i1 %12, label %.preheader, label %13, !llvm.loop !9
    <   %12 = icmp samesign ugt i64 %indvars.iv.next3, 1
    <   br i1 %12, label %.preheader, label %13, !llvm.loop !9"
instcombine,licm,false,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\instcombine__then__licm.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\licm__then__instcombine.ll,"in function Bubble:
  in block %2 / %2:
    >   %indvars.iv2 = phi i64 [ %indvars.iv.next3, %13 ], [ 500, %1 ]
    >   %3 = icmp samesign ugt i64 %indvars.iv2, 1
    >   br i1 %3, label %.preheader, label %14
    <   %indvars.iv2 = phi i64 [ %indvars.iv.next3, %14 ], [ 500, %1 ]
    <   %3 = trunc nuw nsw i64 %indvars.iv2 to i32
    <   %4 = icmp samesign ugt i64 %indvars.iv2, 1
    <   br i1 %4, label %.preheader, label %15"
instcombine,indvars,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\instcombine__then__indvars.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\indvars__then__instcombine.ll,
instcombine,loop-unroll,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\loop-unroll__then__instcombine.ll,
simplifycfg,early-cse,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\simplifycfg__then__early-cse.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\early-cse__then__simplifycfg.ll,
simplifycfg,gvn,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\simplifycfg__then__gvn.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\gvn__then__simplifycfg.ll,
simplifycfg,loop-simplify,false,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\simplifycfg__then__loop-simplify.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\loop-simplify__then__simplifycfg.ll,"in function Bubble:
  in block %.preheader:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %12 ], [ 1, %2 ]
    >   %exitcond = icmp ne i64 %indvars.iv, %indvars.iv2
    >   br i1 %exitcond, label %5, label %13
    <   br label %5"
simplifycfg,loop-rotate,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\simplifycfg__then__loop-rotate.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\loop-rotate__then__simplifycfg.ll,
simplifycfg,licm,false,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\simplifycfg__then__licm.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\licm__then__simplifycfg.ll,"in function Bubble:
  in block %.preheader:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %12 ], [ 1, %2 ]
    >   %exitcond = icmp ne i64 %indvars.iv, %indvars.iv2
    >   br i1 %exitcond, label %5, label %13
    <   br label %5"
simplifycfg,indvars,false,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\simplifycfg__then__indvars.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\indvars__then__simplifycfg.ll,"in function Bubble:
  in block %.preheader:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %12 ], [ 1, %2 ]
    >   %exitcond = icmp ne i64 %indvars.iv, %indvars.iv2
    >   br i1 %exitcond, label %5, label %13
    <   br label %5"
simplifycfg,loop-unroll,false,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\simplifycfg__then__loop-unroll.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\loop-unroll__then__simplifycfg.ll,"in function Bubble:
  in block %.preheader:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %12 ], [ 1, %2 ]
    >   %exitcond = icmp ne i64 %indvars.iv, %indvars.iv2
    >   br i1 %exitcond, label %5, label %13
    <   br label %5"
early-cse,gvn,true,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\early-cse__then__gvn.ll,results\paper_full\Stanford_Bubblesort\round_002\analysis\Stanford_Bubblesort\commutativity\gvn__then__early-cse.ll,
